Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type,Animal Type Specify,Water Status
2017,1,NY,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,20,0,20,0,20,"house salad; fish, baked flounder; broccoli, unspecified",,Multiple,,,,,
2017,1,WI,Food,,,,Restaurant - Sit-down dining,7,,0,,0,,,,,,,,
2017,1,TN,Food,,,,Restaurant - Sit-down dining,10,0,10,0,10,,,,,,,,
2017,1,OH,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,14,0,14,0,14,,,,,,,,
2017,1,WI,Food,Norovirus Genogroup II,GII.P16 - GII.2,Confirmed,Restaurant - Sit-down dining,35,1,35,0,35,,,,,,,,
2017,1,WI,Food,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Confirmed,Restaurant - Sit-down dining,25,0,25,0,25,,,,,,,,
2017,1,TX,Food,,,,Banquet Facility (food prepared and served on-site),40,0,22,0,22,"tortilla chips; salsa; queso dip; salad; salad dressing, unspecified; beef/steak dish, unspecified; shrimp; fried okra; mashed potatoes; rice; iced tea; ice; soda, unspecified; wedding cake",,Multiple,,,,,
2017,1,IA,Food,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2017,1,KS,Food,Norovirus unknown,,Confirmed,Restaurant - Sit-down dining,6,0,6,0,6,,,,,,,,
2017,1,MN,Food,Campylobacter coli,,Confirmed,Restaurant - Sit-down dining,4,1,4,0,4,duck liver and hearts,"duck, other",Other Poultry,,,,,
2017,1,TN,Food,Norovirus Genogroup II,,Suspected,Restaurant - Buffet,3,0,3,0,3,,,,,,,,
2017,1,IA,Food,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Long-term care/nursing home/assisted living facility,92,2,92,0,92,,,,,,,,
2017,1,MI,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,26,0,26,0,26,,,,,,,,
2017,1,MN,Food,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,9,0,9,0,9,mixed cut fruit,cantaloupe; honeydew melon,Fruits,,,,,
2017,1,MN,Food,Norovirus Genogroup I,,Suspected,Restaurant - Sit-down dining,28,0,28,0,28,cucumber salad,cucumber; vinegar,Multiple,,,,,
2017,1,FL,Food,Norovirus Genogroup II,unknown,Suspected,Restaurant - Sit-down dining,12,0,12,0,12,lettuce; salsa,lettuce; salsa,Multiple,,,,,
2017,1,CT,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2017,1,CT,Food,Norovirus Genogroup II,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",5,0,5,0,5,burritos; tacos,,Multiple,,,,,
2017,1,KS,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2017,1,CT,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,17,2,17,0,17,,,,,,,,
2017,1,OH,Food,Norovirus Genogroup I,GI.7,Confirmed,Restaurant - Sit-down dining; Banquet Facility (food prepared and served on-site),57,0,57,0,57,,,,,,,,
2017,1,MD,Food,Bacillus cereus,,Confirmed,Restaurant - Sit-down dining,16,1,16,0,16,"rice, fried rice; noodles",,Multiple,,,,,
2017,1,TN,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2017,1,MI,Food,Norovirus,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",11,0,11,0,11,,,,,,,,
2017,2,VA,Food,Norovirus,,Suspected,Caterer (food prepared off-site from where served),17,0,17,0,17,boxed lunches,,Unclassifiable,,,,,
2017,2,VA,Food,Norovirus Genogroup II; Norovirus Genogroup II,GII.P16 - GII.2; unknown,Confirmed; Confirmed,Caterer (food prepared off-site from where served),15,0,15,0,15,boxed lunches,,Unclassifiable,,,,,
2017,1,FL,Food,,,,Restaurant - Sit-down dining,5,0,5,0,5,,,,,,,,
2017,2,VA,Food,Norovirus Genogroup II; Norovirus Genogroup II,GII.P16 - GII.2; unknown,Confirmed; Suspected,Caterer (food prepared off-site from where served),11,0,11,0,11,boxed lunches,,Unclassifiable,,,,,
2017,2,OH,Food,Norovirus,,Suspected,Private home/residence,18,1,18,0,0,,,,,,,,
2017,1,SC,Food,Hepatitis A,,Confirmed,Restaurant - Sit-down dining,6,1,6,0,6,,,,,,,,
2017,1,GA,Food,Staphylococcus aureus,,Suspected,Grocery store,12,0,12,0,12,cupcakes,,Multiple,,,,,
2017,2,MN,Food,Norovirus Genogroup II,GII.4 untypeable,Confirmed,School/college/university,42,0,42,0,42,,,,,,,,
2017,2,OH,Food,Norovirus Genogroup II; Norovirus Genogroup II; Campylobacter unknown,GII.P7 - GII.14; unknown; ,Confirmed; Suspected; Suspected,Long-term care/nursing home/assisted living facility,45,1,45,0,45,,,,,,,,
2017,2,MN,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,6,0,6,0,6,,,,,,,,
2017,2,VA,Food,Norovirus Genogroup II,GII.2,Confirmed,Caterer (food prepared off-site from where served),150,,0,,0,boxed lunches,,Unclassifiable,,,,,
2017,1,WI,Food,Salmonella enterica,Braenderup,Confirmed,Restaurant - Sit-down dining,7,2,7,0,7,,,,,,,,
2017,1,NY,Food,,,,Restaurant - Sit-down dining,4,1,4,0,4,,,,,,,,
2017,2,HI,Food,Scombroid toxin,,Confirmed,Restaurant - Sit-down dining,2,0,2,0,2,"fish, ahi","fish, ahi",Fish,,,,,
2017,2,NY,Food,Norovirus Genogroup II,,Confirmed,Restaurant - other or unknown type,7,0,7,0,7,greek salad,,Multiple,,,,,
2017,2,WI,Food,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Confirmed,Restaurant - Sit-down dining,17,0,17,0,17,,,,,,,,
2017,1,CT,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2017,1,NY,Food,,,,Restaurant - Sit-down dining,5,0,5,0,5,chana saag,,Multiple,,,,,
2017,1,FL,Food,Bacillus cereus,,Suspected,Religious facility,76,1,76,0,76,"cake, chocolate",,Multiple,,,,,
2017,1,MA,Food,Norovirus Genogroup II; Norovirus Genogroup II,GII.2; unknown,Suspected; Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",11,0,11,0,11,,,,,,,,
2017,2,MN,Food,Norovirus Genogroup II; Norovirus Genogroup II,GII.6; GII.6,Suspected; Confirmed,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2017,2,FL,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,13,0,13,0,13,sushi,,Multiple,,,,,
2017,1,FL,Food,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,6,0,6,0,6,"sushi, various types",,Multiple,,,,,
2017,1,FL,Food,Staphylococcus aureus,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0,3,0,3,milkshake,,Multiple,,,,,
2017,2,FL,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2017,2,MN,Food,Norovirus Genogroup II,GII.4 untypeable,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",12,0,12,0,12,,,,,,,,
2017,1,MN,Food,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,43,0,0,0,43,,,,,,,,
2017,2,OH,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,3,0,3,0,3,pico de gallo,,Multiple,,,,,
2017,1,FL,Food,Staphylococcus aureus,,Suspected,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2017,2,TN,Food,Campylobacter unknown; Campylobacter jejuni,,Confirmed; Suspected,Restaurant - Sit-down dining,4,1,1,0,4,guacamole,,Multiple,,,,,
2017,2,KS,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",7,0,7,0,7,,,,,,,,
2017,2,FL,Food,Staphylococcus aureus,,Confirmed,Private home/residence,60,0,0,0,60,pulled pork,pork,Pork,,,,,
2017,2,OH,Food,Norovirus Genogroup II,GII.4 untypeable,Suspected,Caterer (food prepared off-site from where served),32,0,32,0,32,greek pasta salad,,Multiple,,,,,
2017,2,MN,Food,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Restaurant - Sit-down dining,9,0,9,0,9,raw oysters,"oysters, raw",Mollusks,,,,,
2017,3,TN,Food,Norovirus Genogroup II,GII.2,Suspected,Caterer (food prepared off-site from where served),43,0,43,0,43,,,,,,,,
2017,2,OH,Food,Norovirus Genogroup II; Norovirus Genogroup II,GII.P16 - GII.4 Sydney; unknown,Suspected; Suspected,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2017,3,NY,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,14,0,14,0,14,,,,,,,,
2017,2,PA,Food,Bacillus cereus,,Suspected,Banquet Facility (food prepared and served on-site),22,0,0,0,0,chicken and rice,,Multiple,,,,,
2017,3,SC,Food,Norovirus Genogroup II,GII.2,Confirmed,Restaurant - Sit-down dining,30,0,30,0,30,,,,,,,,
2017,2,FL,Food,Norovirus Genogroup II,unknown,Confirmed,Banquet Facility (food prepared and served on-site); Caterer (food prepared off-site from where served),67,3,67,0,67,"lemonade, unspecified; rolls; cookies",drink mixes; water; bread,Multiple,,,,,
2017,3,FL,Food,Clostridium perfringens,,Suspected,Other,2,0,2,0,2,cuban sandwich,,Multiple,,,,,
2017,2,OK,Food,Salmonella enterica,Enteritidis,Confirmed,Long-term care/nursing home/assisted living facility,9,2,9,1,9,"eggs, over-easy",,Eggs,,,,,
2017,3,FL,Food,Bacillus cereus,,Suspected,Restaurant - Sit-down dining,2,0,2,0,2,"beef, brisket",beef,Beef,,,,,
2017,2,CT,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,5,0,4,0,5,,,,,,,,
2017,1,FL,Food,Ciguatoxin,,Confirmed,Private home/residence,3,0,3,0,3,barracuda,,Fish,,,,,
2017,1,MI,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2017,2,NY,Food,,,,Caterer (food prepared off-site from where served),26,1,26,0,26,"ravioli, cheese; fruit platter",,Multiple,,,,,
2017,1,NY,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,11,0,11,0,11,,,,,,,,
2017,3,VA,Food,Norovirus Genogroup II; Norovirus Genogroup II,GII.P16 - GII.2; unknown,Suspected; Suspected,Restaurant - other or unknown type,25,0,25,0,25,,,,,,,,
2017,3,FL,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
