,cluster,date,date,state,state
,count,min,max,min,max
cluster,,,,,
-1,9734,2005-12-28 20:28:33,2018-11-14 15:28:32,AZ,WI
0,111,2017-10-03 05:52:11,2017-11-13 10:15:08,NV,NV
1,722,2017-12-09 18:20:21,2018-07-19 00:31:57,NV,NV
2,557,2017-02-01 19:33:39,2017-08-03 21:24:49,NV,NV
3,182,2018-07-19 16:15:57,2018-09-15 22:21:37,NV,NV
4,137,2016-12-13 18:44:27,2017-01-29 07:58:28,NV,NV
5,160,2017-03-27 18:33:26,2017-05-22 02:22:13,AZ,AZ
6,182,2018-03-24 02:51:55,2018-05-22 19:34:19,AZ,AZ
7,103,2018-02-15 13:22:37,2018-03-22 21:44:07,AZ,AZ
8,83,2015-04-25 23:57:35,2015-05-23 20:28:36,NV,NV
9,91,2017-08-07 03:35:59,2017-09-07 17:52:53,NV,NV
10,81,2016-04-08 22:31:54,2016-05-06 08:31:12,NV,NV
11,81,2016-06-08 01:54:56,2016-07-05 20:27:56,NV,NV
